Site,BurialNumber,DeltaC13Car,DeltaC13Col,DeltaN,C_N,MidDate,MidDate2,AgeID,CompID,PlusSigma,MinusSigma,Source,Setting
41KR241,,-7.51,-15.34,9.55,,3779,-3779,3900,Component II,,,NSF 2015,CTx
41KR241,,-6.37,-14.7,8.77,,3774,-3774,3900,Component II,,,NSF 2015,CTx
41KR241,,-7.82,-15.57,9.47,,3752,-3752,3900,Component II,,,NSF 2015,CTx
41BX26,84,-8.9,-16.7,8.3,.,3691,-3691,3700,Component II,,,On File- PRL,CTx
41KR241,,-8.02,-17,8.71,,3684,-3684,3700,Component II,,,NSF 2015,CTx
41KR241,,-8.39,-16.14,8.63,,3650,-3650,3700,Component II,,,NSF 2015,CTx
41BX26,74,-9.3,-16.2,8.7,.,3608,-3608,3700,Component II,,,On File- PRL,CTx
41KR241,-,-9.9,-16.5,7.7,Unknown,3550,-3550,3700,Component II,3700-3400,,Bement 1994,CTx
41KR241,-,-10.1,-15.8,7.8,Unknown,3550,-3550,3700,Component II,3700-3400,,Bement 1994,CTx
41KR241,,-8.96,-17.24,10.04,,3547,-3547,3700,Component II,,,NSF 2015,CTx
41BX26,89,-8.9,-15.3,9.6,.,3524,-3524,3700,Component II,,,On File- PRL,CTx
41KR241,,-7.9,-16.36,9.06,,3518,-3518,3700,Component II,,,NSF 2015,CTx
41HY161,2,-10.5,-16.9,8.8,3.3,3510,-3510,3700,Component II,3550-3470,,Munoz et al. 2011a,CTx
41KR241,,-8.36,-15.42,8.92,,3506,-3506,3700,Component II,,,NSF 2015,CTx
41KR241,,-7.3,-15.68,8.42,,3503,-3503,3700,Component II,,,NSF 2015,CTx
41KR241,,-7.75,-15.92,8.06,,3477,-3477,3500,Component II,,,NSF 2015,CTx
41KR241,,-7.15,-15.13,8.14,,3467,-3467,3500,Component II,,,NSF 2015,CTx
41KR241,,-9.11,-16.28,8.56,,3428,-3428,3500,Component II,,,NSF 2015,CTx
41BX26,82,-9.4,-16,8.9,.,3403,-3403,3500,Component II,,,On File- PRL,CTx
41KR241,,-8.92,-15.63,8.98,,3377,-3377,3500,Component III,,,NSF 2015,CTx
