calBP,CompID,RockOven,LnOvenArea,DeltaC13Car,DeltaC13CarLag,DeltaC13Col,DeltaN,MAT,MinTemp,CRR,NPP,NPPLag,PrDens,LnPrDens,PrDensLag,LnPrDensLag,lo,hi,logFit3
2500,Component III,3,1.06,-8.6,-8.265575531,-15.4,9.15124894,18.00669195,5.912915639,489.1471661,831.9707604,790.0201284,34.54648138,3.542305704,36.83059623,3.606328919,21.78166261,39.20970041,29.44836999
2300,Component III,3,1.06,-9.53,-8.6,-16.97142857,9.02,17.9723821,5.844928223,492.2992447,836.5036574,831.9707604,33.22049468,3.503166995,34.54648138,3.542305704,26.41339224,43.68202785,33.02214583
2100,Component III,4,1.53,-9.561818182,-9.53,-17.74,9.076363636,18.04764516,6.287234131,485.8732193,827.2525536,836.5036574,39.92736018,3.687061808,33.22049468,3.503166995,30.0825768,49.66868355,37.92622354
1900,Component III,4,1.53,-9.103333333,-9.561818182,-17.38,8.73,17.79289327,5.595624329,516.0685169,870.3816326,827.2525536,42.94586742,3.759940425,39.92736018,3.687061808,34.65565554,57.65283123,43.85880415
1700,Component III,4,1.53,-9.446916752,-9.103333333,-17.42636723,9.09,18.11278478,6.322159159,482.9442255,823.0227698,870.3816326,44.05493331,3.78543734,42.94586742,3.759940425,41.36158932,63.45703007,50.03771539
1500,Component III,4,1.53,-10.2,-9.446916752,-17.75,9.25,18.11401154,6.050600779,502.4952324,851.1013516,823.0227698,49.78271589,3.907667853,44.05493331,3.78543734,45.89640883,69.51240089,55.54775477
1300,Component III,4,1.53,-9.5,-10.2,-17.9,8.8,18.2319254,6.544165029,519.9523597,875.8665694,851.1013516,62.0167945,4.127405227,49.78271589,3.907667853,51.15389456,73.50203016,59.81901887
1100,Component III,4,1.53,-12.15,-9.5,-18.7925,8.01875,18.3373376,6.767053518,525.8437098,884.1596433,875.8665694,75.25166784,4.320838067,62.0167945,4.127405227,52.93181775,77.47799752,62.78195332
900,Component III,4,1.53,-9.515479809,-12.15,-16.77084418,8.890284364,17.8901504,5.837860453,523.1811838,880.4157041,884.1596433,68.55474101,4.227632565,75.25166784,4.320838067,54.31168917,78.63031303,64.68123308
700,Component III,4,1.36,-8.90952381,-9.515479809,-16.07619048,9.40952381,17.9135464,5.958510935,512.91443,865.91687,880.4157041,69.19822925,4.236975273,68.55474101,4.227632565,56.50775573,79.91927794,65.83736016
500,Component III,1,0.2,-5,-8.90952381,-9.75,11.2,18.19196086,6.646412547,538.4485233,901.7944715,865.91687,62.76335922,4.139371451,69.19822925,4.236975273,55.20887148,79.30787653,66.51899053
,,,,,-5,,,,,,,901.7944715,,,62.76335922,,,,
